current,voltage,temperature,cell_voltage_min,soc,cycle_count,internal_resistance,charge_capacity,discharge_capacity,c_rate,dod,soh,cell_voltage_max,mfg_rated_cycles,calendar_age_days,chemistry_type
10.49,3.7024,28.6,3.6904,0.5908,0,0.026498,42.53,42.06,0.2419,0.3588,0.9945,3.7144,1768,48,0.0
-82.41,3.6627,45.0,3.6611,0.5468,4,0.02354,42.56,41.97,1.9887,0.4566,0.9941,3.6643,1768,54,0.0
-15.1,3.4797,19.9,3.4757,0.3929,9,0.030377,41.1,42.04,0.4012,0.6467,0.9854,3.4836,1768,61,0.0
-23.81,3.4849,41.2,3.4818,0.3912,14,0.027133,41.94,40.94,0.5313,0.599,0.9843,3.4881,1768,69,0.0
22.25,3.4463,42.1,3.4388,0.3846,19,0.029687,41.41,40.31,0.5489,0.2745,0.9812,3.4539,1768,77,0.0
-20.86,3.8966,40.9,3.8566,0.7485,24,0.028228,41.93,41.4,0.5064,0.2646,0.9977,3.9366,1768,84,0.0
-15.23,3.3217,37.1,3.3196,0.2248,29,0.030526,41.67,42.14,0.3354,0.7449,0.9778,3.3238,1768,92,0.0
32.17,3.6376,29.7,3.6312,0.5255,34,0.02845,42.31,41.75,0.8317,0.5607,0.9858,3.644,1768,100,0.0
21.98,3.5324,41.2,3.5266,0.4247,39,0.030558,42.05,41.78,0.5129,0.6259,0.9757,3.5382,1768,107,0.0
-9.06,3.4312,38.4,3.4295,0.3634,44,0.03068,40.87,40.16,0.2153,0.4876,0.9826,3.433,1768,115,0.0
4.63,3.8652,39.1,3.8613,0.7165,49,0.030316,40.69,41.54,0.1064,0.5624,0.9844,3.8692,1768,123,0.0
30.36,3.6279,33.6,3.6258,0.5173,54,0.02671,42.3,41.12,0.7057,0.5049,0.9836,3.6301,1768,130,0.0
25.86,3.7022,40.7,3.6695,0.6138,58,0.032478,41.75,41.47,0.6009,0.3617,0.9792,3.735,1768,136,0.0
4.26,3.9807,38.1,3.9804,0.8177,63,0.030011,40.77,41.89,0.1021,0.6916,0.9801,3.9809,1768,144,0.0
-25.27,3.4612,26.3,3.4405,0.399,68,0.029901,40.85,40.17,0.5907,0.6295,0.9887,3.482,1768,152,0.0
11.67,3.1818,45.0,3.1812,0.1545,73,0.027934,42.01,42.62,0.2726,0.3166,0.9733,3.1824,1768,159,0.0
6.71,3.68,39.1,3.6775,0.5691,78,0.030111,41.34,41.19,0.1574,0.5471,0.971,3.6826,1768,167,0.0
23.68,3.6101,24.8,3.605,0.5323,83,0.031195,39.87,41.7,0.5505,0.539,0.9797,3.6151,1768,175,0.0
76.66,3.9303,30.9,3.9248,0.7728,88,0.028129,42.57,41.32,1.8547,0.2721,0.9712,3.9357,1768,182,0.0
-28.21,3.9063,33.7,3.8977,0.7489,93,0.028927,39.98,42.0,0.6798,0.6031,0.9822,3.9149,1768,190,0.0
9.92,3.6252,29.4,3.6235,0.5346,98,0.030237,40.19,39.72,0.2463,0.5483,0.9744,3.627,1768,198,0.0
-5.63,3.3797,36.4,3.3781,0.3278,103,0.03273,40.21,41.25,0.1504,0.4967,0.9718,3.3813,1768,205,0.0
17.32,3.7501,43.9,3.7363,0.6162,108,0.029324,41.48,40.9,0.3907,0.4729,0.9709,3.7639,1768,213,0.0
11.3,3.8328,20.7,3.804,0.7092,112,0.032318,41.78,41.14,0.2691,0.5906,0.9751,3.8616,1768,219,0.0
26.86,3.8524,44.3,3.8511,0.7216,117,0.025959,41.18,40.1,0.6403,0.3787,0.9634,3.8537,1768,227,0.0
-19.24,3.9497,45.0,3.9251,0.7956,122,0.029332,41.1,40.61,0.4892,0.7295,0.9655,3.9743,1768,235,0.0
-23.28,3.601,19.6,3.5872,0.4903,127,0.028162,43.42,42.09,0.5084,0.4823,0.97,3.6148,1768,242,0.0
-11.9,3.6292,35.3,3.6213,0.5169,132,0.027957,40.28,40.67,0.2762,0.5354,0.9629,3.6371,1768,250,0.0
-12.54,3.9077,25.0,3.8911,0.7736,137,0.033609,39.49,40.88,0.2942,0.2359,0.9785,3.9244,1768,258,0.0
-17.71,3.9658,33.6,3.962,0.8007,142,0.027199,41.42,40.48,0.4612,0.05,0.9626,3.9695,1768,265,0.0
-33.31,3.7614,28.4,3.7583,0.6441,147,0.030234,40.14,41.14,0.7979,0.5228,0.9687,3.7644,1768,273,0.0
-11.33,3.9622,37.7,3.9501,0.7959,152,0.030016,41.35,39.56,0.2619,0.1032,0.9641,3.9742,1768,281,0.0
20.8,3.9114,32.7,3.9008,0.7698,157,0.029419,40.28,40.22,0.4747,0.7786,0.9711,3.922,1768,288,0.0
-14.4,3.6205,36.3,3.6127,0.5023,162,0.029758,41.37,40.25,0.3379,0.6153,0.9718,3.6283,1768,296,0.0
-5.4,3.7339,35.7,3.7197,0.6028,166,0.032031,40.27,40.45,0.1273,0.7622,0.9656,3.7482,1768,302,0.0
-87.52,3.4048,19.2,3.3968,0.3413,171,0.030327,41.29,40.2,1.95,0.343,0.9729,3.4127,1768,310,0.0
-8.4,3.836,39.3,3.8308,0.6903,176,0.029861,41.27,40.46,0.2055,0.7544,0.9558,3.8412,1768,317,0.0
-28.45,4.0678,29.2,4.0626,0.8561,181,0.031405,41.81,41.07,0.621,0.288,0.9644,4.073,1768,325,0.0
-9.51,3.4664,41.6,3.4575,0.3604,186,0.027123,40.48,40.33,0.235,0.8148,0.9611,3.4753,1768,333,0.0
-11.16,3.8164,34.5,3.8148,0.6698,191,0.027589,40.95,38.72,0.26,0.4109,0.963,3.8181,1768,340,0.0
14.76,3.7951,34.1,3.7881,0.6593,196,0.030423,41.84,41.48,0.3517,0.1839,0.9627,3.802,1768,348,0.0
11.47,3.9923,25.7,3.9829,0.829,201,0.028675,40.13,41.35,0.2654,0.4968,0.9553,4.0017,1768,356,0.0
7.61,3.6498,42.1,3.644,0.554,206,0.031135,40.76,39.32,0.192,0.5701,0.947,3.6557,1768,363,0.0
-6.66,3.6659,31.0,3.6584,0.5404,211,0.029327,39.61,41.77,0.1686,0.3395,0.9524,3.6733,1768,371,0.0
-34.52,3.7595,45.0,3.7493,0.6311,216,0.031864,39.85,38.65,0.8143,0.3292,0.9432,3.7697,1768,379,0.0
-6.57,3.9671,41.6,3.9248,0.8226,220,0.030853,40.33,40.31,0.1511,0.05,0.9566,4.0095,1768,385,0.0
24.59,3.771,35.5,3.7686,0.6499,225,0.03427,41.43,37.96,0.5619,0.2619,0.9596,3.7733,1768,393,0.0
7.36,3.817,31.1,3.7953,0.6751,230,0.027737,41.01,41.2,0.1783,0.3944,0.9653,3.8387,1768,400,0.0
23.25,3.9416,19.0,3.9401,0.7784,235,0.030553,40.1,39.79,0.5501,0.2787,0.9612,3.9432,1768,408,0.0
-15.75,4.0428,45.0,4.0348,0.861,240,0.031791,40.31,40.09,0.3929,0.5722,0.9391,4.0507,1768,416,0.0
-16.65,3.7367,32.0,3.7257,0.6118,245,0.030613,40.27,40.85,0.4044,0.3344,0.9642,3.7477,1768,423,0.0
-16.53,3.5733,43.0,3.5657,0.4594,250,0.029308,39.77,40.65,0.4457,0.5322,0.944,3.5809,1768,431,0.0
13.65,3.6691,42.5,3.6331,0.565,255,0.03175,39.36,39.17,0.3214,0.4365,0.9345,3.7051,1768,439,0.0
9.79,3.3418,29.3,3.337,0.2935,260,0.031628,40.29,41.51,0.2284,0.7677,0.9624,3.3466,1768,446,0.0
23.17,3.7401,41.2,3.7351,0.6009,265,0.032213,39.98,39.53,0.5068,0.2304,0.9326,3.745,1768,454,0.0
-15.54,4.0588,27.9,4.0563,0.884,270,0.030043,41.9,40.47,0.3649,0.5003,0.959,4.0614,1768,462,0.0
